Measurement			
2			
Q2			
1.8			
W			
1.25			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.001191
-0.925	0	0	0.001226
-0.875	0	0	0.001261
-0.825	0.006189	0.003325	0.001436
-0.775	0.010719	0.003304	0.00176
-0.725	0.01127	0.003423	0.00185
-0.675	0.007942	0.002287	0.001662
-0.625	0.013876	0.002668	0.002374
-0.575	0.01198	0.002554	0.001995
-0.525	0.013764	0.002755	0.00227
-0.475	0.010595	0.002462	0.001924
-0.425	0.015685	0.00299	0.002629
-0.375	0.021216	0.003799	0.003578
-0.325	0.012193	0.002917	0.002168
-0.275	0.017486	0.003342	0.002948
-0.225	0.012452	0.00255	0.002304
-0.175	0.012627	0.002719	0.002465
-0.125	0.012623	0.00307	0.002532
-0.075	0.012592	0.002568	0.002511
-0.025	0.014678	0.002931	0.002735
0.025	0.012107	0.002469	0.002656
0.075	0.006057	0.001765	0.002291
0.125	0.008451	0.002271	0.002436
0.175	0.016306	0.003419	0.002964
0.225	0.013096	0.003226	0.002747
0.275	0.012844	0.00326	0.002817
0.325	0.016847	0.004002	0.003147
0.375	0.019687	0.005074	0.003463
0.425	0.024795	0.005286	0.004362
0.475	0.01784	0.004327	0.003365
0.525	0.022501	0.005074	0.003959
0.575	0.015474	0.004292	0.003302
0.625	0.024597	0.005715	0.004327
0.675	0.013361	0.004285	0.003291
End			
Measurement			
3			
Q2			
1.8			
W			
1.5			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.001402
-0.925	0	0	0.001443
-0.875	0	0	0.001484
-0.825	0.013413	0.008425	0.001864
-0.775	0.006707	0.00227	0.001601
-0.725	0.008888	0.002065	0.001674
-0.675	0.008708	0.001716	0.001732
-0.625	0.013	0.002138	0.001866
-0.575	0.01117	0.001879	0.001865
-0.525	0.016888	0.002347	0.002408
-0.475	0.011357	0.001856	0.002008
-0.425	0.00841	0.001795	0.001997
-0.375	0.015739	0.002113	0.002257
-0.325	0.014471	0.002082	0.002195
-0.275	0.021445	0.00246	0.003075
-0.225	0.016512	0.002157	0.002389
-0.175	0.018231	0.002198	0.002669
-0.125	0.014224	0.001947	0.002482
-0.075	0.017839	0.002164	0.002709
-0.025	0.012717	0.001903	0.002597
0.025	0.02073	0.002355	0.003153
0.075	0.012553	0.00181	0.002698
0.125	0.017324	0.00214	0.0029
0.175	0.015059	0.002063	0.002867
0.225	0.01945	0.002514	0.003024
0.275	0.016103	0.002483	0.003031
0.325	0.01756	0.002591	0.00314
0.375	0.024162	0.003207	0.003608
0.425	0.020442	0.003302	0.003363
0.475	0.021494	0.003488	0.003462
0.525	0.023991	0.003633	0.003612
0.575	0.024415	0.003593	0.003696
0.625	0.020198	0.003268	0.00363
0.675	0.024804	0.003572	0.003853
End			
Measurement			
4			
Q2			
1.8			
W			
1.73			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.002256
-0.925	0	0	0.002323
-0.875	0	0	0.002388
-0.825	0.102935	0.102935	0.014387
-0.775	0.006832	0.004287	0.002546
-0.725	0.016463	0.004386	0.002734
-0.675	0.02426	0.003465	0.003271
-0.625	0.018664	0.002622	0.002815
-0.575	0.018701	0.00259	0.002914
-0.525	0.022161	0.002798	0.003021
-0.475	0.025583	0.00278	0.003424
-0.425	0.021734	0.002476	0.003156
-0.375	0.020826	0.002201	0.003258
-0.325	0.024814	0.00235	0.003402
-0.275	0.021763	0.002146	0.003469
-0.225	0.024926	0.002173	0.003595
-0.175	0.031136	0.002533	0.004244
-0.125	0.02598	0.002226	0.00377
-0.075	0.026051	0.00216	0.003846
-0.025	0.029661	0.002498	0.003999
0.025	0.031878	0.002528	0.004355
0.075	0.029596	0.002405	0.004261
0.125	0.0306	0.002552	0.004373
0.175	0.030857	0.002506	0.004489
0.225	0.031004	0.002493	0.004622
0.275	0.034815	0.002853	0.004841
0.325	0.034952	0.003082	0.00492
0.375	0.036601	0.003282	0.005089
0.425	0.03897	0.003586	0.005419
0.475	0.035197	0.003579	0.005253
0.525	0.046819	0.004323	0.00651
0.575	0.055377	0.004688	0.0077
0.625	0.055767	0.004754	0.007754
0.675	0.051615	0.004888	0.007177
End			
Measurement			
5			
Q2			
1.8			
W			
2.02			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.002617
-0.925	0	0	0.002694
-0.875	0	0	0.00277
-0.825	0	0	0.002845
-0.775	0	0	0.002925
-0.725	0.012644	0.004208	0.003175
-0.675	0.018833	0.002727	0.003261
-0.625	0.021499	0.002078	0.00329
-0.575	0.022615	0.001922	0.003351
-0.525	0.02518	0.002074	0.003441
-0.475	0.026041	0.002013	0.003557
-0.425	0.025175	0.001905	0.003661
-0.375	0.028747	0.001964	0.003843
-0.325	0.028376	0.001841	0.003889
-0.275	0.029735	0.001955	0.004009
-0.225	0.028519	0.001942	0.004087
-0.175	0.027622	0.00192	0.004158
-0.125	0.030442	0.002047	0.004286
-0.075	0.033337	0.002141	0.004441
-0.025	0.034819	0.002195	0.00465
0.025	0.034661	0.002176	0.004698
0.075	0.040128	0.002337	0.005354
0.125	0.035375	0.002112	0.004916
0.175	0.039505	0.002115	0.005259
0.225	0.042017	0.002168	0.005619
0.275	0.041335	0.002126	0.00554
0.325	0.045136	0.002223	0.00605
0.375	0.046004	0.002328	0.006166
0.425	0.053478	0.002636	0.007168
0.475	0.057848	0.002927	0.007754
0.525	0.062517	0.00333	0.008379
0.575	0.062096	0.003326	0.008323
0.625	0.068201	0.00351	0.009141
0.675	0.067036	0.00361	0.008985
End			
Measurement			
6			
Q2			
1.8			
W			
2.4			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.003226
-0.925	0	0	0.003321
-0.875	0	0	0.003415
-0.825	0	0	0.003507
-0.775	0	0	0.003606
-0.725	0	0	0.003718
-0.675	0.029146	0.006596	0.004542
-0.625	0.020855	0.00253	0.00431
-0.575	0.02571	0.001969	0.004525
-0.525	0.02677	0.001666	0.004619
-0.475	0.029907	0.001451	0.00481
-0.425	0.030849	0.001349	0.004927
-0.375	0.032446	0.001329	0.005054
-0.325	0.034387	0.001358	0.005196
-0.275	0.035226	0.001264	0.005313
-0.225	0.035799	0.00126	0.005412
-0.175	0.042417	0.001404	0.006084
-0.125	0.043474	0.00142	0.006203
-0.075	0.048457	0.001436	0.006893
-0.025	0.047654	0.001379	0.006804
0.025	0.050783	0.001395	0.007329
0.075	0.052368	0.001398	0.007604
0.125	0.053348	0.001399	0.007757
0.175	0.057483	0.001398	0.008359
0.225	0.062999	0.001422	0.009152
0.275	0.070238	0.001488	0.010214
0.325	0.071352	0.001462	0.010376
0.375	0.07533	0.00144	0.010954
0.425	0.076078	0.001397	0.011063
0.475	0.084108	0.00144	0.012231
0.525	0.089941	0.001504	0.013079
0.575	0.107266	0.001804	0.015598
0.625	0.117313	0.002073	0.01706
0.675	0.1322	0.002435	0.019224
End			
Measurement			
8			
Q2			
2.8			
W			
1.25			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.000607
-0.925	0	0	0.000625
-0.875	0	0	0.000643
-0.825	-0.000787	0	0.000666
-0.775	0.005194	0.001998	0.000908
-0.725	0.005516	0.001439	0.000962
-0.675	0.002902	0.000893	0.00083
-0.625	0.004926	0.001108	0.001011
-0.575	0.008519	0.001361	0.00145
-0.525	0.00844	0.001384	0.001373
-0.475	0.007254	0.001268	0.001206
-0.425	0.007893	0.001365	0.001335
-0.375	0.007412	0.001207	0.001271
-0.325	0.008338	0.001198	0.001448
-0.275	0.008112	0.001192	0.001426
-0.225	0.008123	0.001152	0.00145
-0.175	0.006939	0.001067	0.001295
-0.125	0.006092	0.000927	0.001266
