0.133333 2
0 0 1.06876
0 2 1.06876
0 4 1.06876
0 6 1.06876
0 8 1.06876
0 10 1.06876
0 12 1.06876
0 14 1.06876
0 16 1.06876
0 18 1.06876
0 20 1.06876
0 22 1.06876
0 24 1.06876
0 26 1.06876
0 28 1.06876
0 30 1.06876
0 32 1.06876
0 34 1.06876
0 36 1.06876
0 38 1.06876
0 40 1.06876
0 42 1.06876
0 44 1.06876
0 46 1.06876
0 48 1.06876
0 50 1.06876
0 52 1.06876
0 54 1.06876
0 56 1.06876
0 58 1.06876
0 60 1.06876
0 62 1.06876
0 64 1.06876
0 66 1.06876
0 68 1.06876
0 70 1.06876
0 72 1.06876
0 74 1.06876
0 76 1.06876
0 78 1.06876
0 80 1.06876
0 82 1.06876
0 84 1.06876
0 86 1.06876
0 88 1.06876
0 90 1.06876
0.133333 0 1.06849
0.133333 2 1.06849
0.133333 4 1.06849
0.133333 6 1.06849
0.133333 8 1.06849
0.133333 10 1.06849
0.133333 12 1.06849
0.133333 14 1.06849
0.133333 16 1.06849
0.133333 18 1.06849
0.133333 20 1.06849
0.133333 22 1.06849
0.133333 24 1.06849
0.133333 26 1.06849
0.133333 28 1.06849
0.133333 30 1.06849
0.133333 32 1.06849
0.133333 34 1.06849
0.133333 36 1.06849
0.133333 38 1.06849
0.133333 40 1.06849
0.133333 42 1.06849
0.133333 44 1.06849
0.133333 46 1.06849
0.133333 48 1.06849
0.133333 50 1.06849
0.133333 52 1.06849
0.133333 54 1.06849
0.133333 56 1.06849
0.133333 58 1.06849
0.133333 60 1.06849
0.133333 62 1.06849
0.133333 64 1.06849
0.133333 66 1.06849
0.133333 68 1.06849
0.133333 70 1.06849
0.133333 72 1.06849
0.133333 74 1.06849
0.133333 76 1.06849
0.133333 78 1.06849
0.133333 80 1.06849
0.133333 82 1.06849
0.133333 84 1.06849
0.133333 86 1.06849
0.133333 88 1.06849
0.133333 90 1.06849
0.266667 0 1.06766
0.266667 2 1.06766
0.266667 4 1.06766
0.266667 6 1.06766
0.266667 8 1.06766
0.266667 10 1.06766
0.266667 12 1.06766
0.266667 14 1.06766
0.266667 16 1.06766
0.266667 18 1.06766
0.266667 20 1.06766
0.266667 22 1.06766
0.266667 24 1.06766
0.266667 26 1.06766
0.266667 28 1.06766
0.266667 30 1.06766
0.266667 32 1.06766
0.266667 34 1.06766
0.266667 36 1.06766
0.266667 38 1.06766
0.266667 40 1.06766
0.266667 42 1.06766
0.266667 44 1.06766
0.266667 46 1.06766
0.266667 48 1.06766
0.266667 50 1.06766
0.266667 52 1.06766
0.266667 54 1.06766
0.266667 56 1.06766
0.266667 58 1.06766
0.266667 60 1.06766
0.266667 62 1.06766
0.266667 64 1.06766
0.266667 66 1.06766
0.266667 68 1.06766
0.266667 70 1.06766
0.266667 72 1.06766
0.266667 74 1.06766
0.266667 76 1.06766
0.266667 78 1.06766
0.266667 80 1.06766
0.266667 82 1.06766
0.266667 84 1.06766
0.266667 86 1.06766
0.266667 88 1.06766
0.266667 90 1.06766
0.4 0 1.06629
0.4 2 1.06629
0.4 4 1.06629
0.4 6 1.06629
0.4 8 1.06629
0.4 10 1.06629
0.4 12 1.06629
0.4 14 1.06629
0.4 16 1.06629
0.4 18 1.06629
0.4 20 1.06629
0.4 22 1.06629
0.4 24 1.06629
0.4 26 1.06629
0.4 28 1.06629
0.4 30 1.06629
0.4 32 1.06629
0.4 34 1.06629
0.4 36 1.06629
0.4 38 1.06629
0.4 40 1.06629
0.4 42 1.06629
0.4 44 1.06629
0.4 46 1.0663
0.4 48 1.0663
0.4 50 1.0663
0.4 52 1.0663
0.4 54 1.0663
0.4 56 1.0663
0.4 58 1.0663
0.4 60 1.0663
0.4 62 1.0663
0.4 64 1.0663
0.4 66 1.0663
0.4 68 1.0663
0.4 70 1.0663
0.4 72 1.0663
0.4 74 1.0663
0.4 76 1.0663
0.4 78 1.0663
0.4 80 1.0663
0.4 82 1.0663
0.4 84 1.0663
0.4 86 1.0663
0.4 88 1.0663
0.4 90 1.0663
0.533333 0 1.06438
0.533333 2 1.06438
0.533333 4 1.06438
0.533333 6 1.06438
0.533333 8 1.06438
0.533333 10 1.06438
0.533333 12 1.06438
0.533333 14 1.06438
0.533333 16 1.06438
0.533333 18 1.06438
0.533333 20 1.06439
0.533333 22 1.06439
0.533333 24 1.06439
0.533333 26 1.06439
0.533333 28 1.06439
0.533333 30 1.06439
0.533333 32 1.06439
0.533333 34 1.06439
0.533333 36 1.06439
0.533333 38 1.06439
0.533333 40 1.06439
0.533333 42 1.06439
0.533333 44 1.06439
0.533333 46 1.06439
0.533333 48 1.06439
0.533333 50 1.06439
0.533333 52 1.06439
0.533333 54 1.06439
0.533333 56 1.06439
0.533333 58 1.06439
0.533333 60 1.06439
0.533333 62 1.06439
0.533333 64 1.06439
0.533333 66 1.06439
0.533333 68 1.06439
0.533333 70 1.06439
0.533333 72 1.06439
0.533333 74 1.06439
0.533333 76 1.06439
0.533333 78 1.06439
0.533333 80 1.06439
0.533333 82 1.06439
0.533333 84 1.06439
0.533333 86 1.06439
0.533333 88 1.06439
0.533333 90 1.06439
0.666667 0 1.06195
0.666667 2 1.06195
0.666667 4 1.06195
0.666667 6 1.06195
0.666667 8 1.06195
0.666667 10 1.06195
0.666667 12 1.06195
0.666667 14 1.06195
0.666667 16 1.06195
0.666667 18 1.06195
0.666667 20 1.06195
0.666667 22 1.06195
0.666667 24 1.06195
0.666667 26 1.06195
0.666667 28 1.06195
0.666667 30 1.06195
0.666667 32 1.06195
0.666667 34 1.06195
0.666667 36 1.06195
0.666667 38 1.06195
0.666667 40 1.06195
0.666667 42 1.06195
0.666667 44 1.06195
0.666667 46 1.06196
0.666667 48 1.06196
0.666667 50 1.06196
0.666667 52 1.06196
0.666667 54 1.06196
0.666667 56 1.06196
0.666667 58 1.06196
0.666667 60 1.06196
0.666667 62 1.06196
0.666667 64 1.06196
0.666667 66 1.06196
0.666667 68 1.06196
0.666667 70 1.06196
0.666667 72 1.06196
0.666667 74 1.06196
0.666667 76 1.06196
0.666667 78 1.06196
0.666667 80 1.06196
0.666667 82 1.06196
0.666667 84 1.06196
0.666667 86 1.06196
0.666667 88 1.06196
0.666667 90 1.06196
0.8 0 1.05901
0.8 2 1.05901
0.8 4 1.05901
0.8 6 1.05901
0.8 8 1.05901
0.8 10 1.05901
0.8 12 1.05901
0.8 14 1.05901
0.8 16 1.05901
0.8 18 1.05901
0.8 20 1.05901
0.8 22 1.05901
0.8 24 1.05901
0.8 26 1.05901
0.8 28 1.05901
0.8 30 1.05901
0.8 32 1.05901
0.8 34 1.05901
0.8 36 1.05901
0.8 38 1.05901
0.8 40 1.05901
0.8 42 1.05901
0.8 44 1.05901
0.8 46 1.05902
0.8 48 1.05902
0.8 50 1.05902
0.8 52 1.05902
0.8 54 1.05902
0.8 56 1.05902
0.8 58 1.05902
0.8 60 1.05902
0.8 62 1.05902
0.8 64 1.05902
0.8 66 1.05902
0.8 68 1.05902
0.8 70 1.05902
0.8 72 1.05902
0.8 74 1.05902
0.8 76 1.05902
0.8 78 1.05902
0.8 80 1.05902
0.8 82 1.05902
0.8 84 1.05902
0.8 86 1.05902
0.8 88 1.05902
0.8 90 1.05902
0.933333 0 1.05558
0.933333 2 1.05558
0.933333 4 1.05558
0.933333 6 1.05559
0.933333 8 1.05559
0.933333 10 1.05559
0.933333 12 1.05559
0.933333 14 1.05559
0.933333 16 1.05559
0.933333 18 1.05559
0.933333 20 1.05559
0.933333 22 1.05559
0.933333 24 1.05559
0.933333 26 1.05559
0.933333 28 1.05559
0.933333 30 1.05559
0.933333 32 1.05559
0.933333 34 1.05559
0.933333 36 1.05559
0.933333 38 1.0556
0.933333 40 1.0556
0.933333 42 1.0556
0.933333 44 1.0556
0.933333 46 1.0556
0.933333 48 1.0556
0.933333 50 1.0556
0.933333 52 1.0556
0.933333 54 1.0556
0.933333 56 1.0556
0.933333 58 1.0556
0.933333 60 1.0556
0.933333 62 1.0556
0.933333 64 1.0556
0.933333 66 1.0556
0.933333 68 1.0556
0.933333 70 1.0556
0.933333 72 1.0556
0.933333 74 1.0556
0.933333 76 1.0556
0.933333 78 1.0556
0.933333 80 1.0556
0.933333 82 1.0556
0.933333 84 1.0556
0.933333 86 1.0556
0.933333 88 1.0556
0.933333 90 1.0556
1.06667 0 1.05173
1.06667 2 1.05173
1.06667 4 1.05173
1.06667 6 1.05173
1.06667 8 1.05173
1.06667 10 1.05173
1.06667 12 1.05173
1.06667 14 1.05173
1.06667 16 1.05173
1.06667 18 1.05173
1.06667 20 1.05173
1.06667 22 1.05173
1.06667 24 1.05173
1.06667 26 1.05173
1.06667 28 1.05174
1.06667 30 1.05174
1.06667 32 1.05174
1.06667 34 1.05174
1.06667 36 1.05174
1.06667 38 1.05174
1.06667 40 1.05174
1.06667 42 1.05174
1.06667 44 1.05174
1.06667 46 1.05174
1.06667 48 1.05174
1.06667 50 1.05175
1.06667 52 1.05175
1.06667 54 1.05175
1.06667 56 1.05175
1.06667 58 1.05175
1.06667 60 1.05175
1.06667 62 1.05175
1.06667 64 1.05175
1.06667 66 1.05175
1.06667 68 1.05175
1.06667 70 1.05175
1.06667 72 1.05175
1.06667 74 1.05175
1.06667 76 1.05175
1.06667 78 1.05175
1.06667 80 1.05175
1.06667 82 1.05175
1.06667 84 1.05175
1.06667 86 1.05175
1.06667 88 1.05175
1.06667 90 1.05175
1.2 0 1.04749
1.2 2 1.04749
1.2 4 1.04749
1.2 6 1.04749
1.2 8 1.04749
1.2 10 1.04749
1.2 12 1.04749
1.2 14 1.04749
1.2 16 1.04749
1.2 18 1.04749
1.2 20 1.04749
1.2 22 1.04749
1.2 24 1.04749
1.2 26 1.0475
1.2 28 1.0475
1.2 30 1.0475
1.2 32 1.0475
1.2 34 1.0475
1.2 36 1.0475
1.2 38 1.0475
1.2 40 1.0475
1.2 42 1.0475
1.2 44 1.04751
1.2 46 1.04751
1.2 48 1.04751
1.2 50 1.04751
1.2 52 1.04751
1.2 54 1.04751
1.2 56 1.04751
1.2 58 1.04751
1.2 60 1.04751
1.2 62 1.04751
1.2 64 1.04751
1.2 66 1.04751
1.2 68 1.04751
1.2 70 1.04751
1.2 72 1.04751
1.2 74 1.04751
1.2 76 1.04751
1.2 78 1.04751
1.2 80 1.04751
1.2 82 1.04751
1.2 84 1.04751
1.2 86 1.04751
1.2 88 1.04751
1.2 90 1.04751
1.33333 0 1.04293
1.33333 2 1.04293
1.33333 4 1.04293
1.33333 6 1.04293
1.33333 8 1.04293
1.33333 10 1.04293
1.33333 12 1.04293
1.33333 14 1.04293
1.33333 16 1.04293
1.33333 18 1.04293
1.33333 20 1.04293
1.33333 22 1.04294
1.33333 24 1.04294
1.33333 26 1.04294
1.33333 28 1.04294
1.33333 30 1.04294
1.33333 32 1.04294
1.33333 34 1.04294
1.33333 36 1.04294
1.33333 38 1.04295
1.33333 40 1.04295
1.33333 42 1.04295
1.33333 44 1.04295
1.33333 46 1.04295
1.33333 48 1.04295
1.33333 50 1.04295
1.33333 52 1.04295
1.33333 54 1.04295
1.33333 56 1.04295
1.33333 58 1.04295
1.33333 60 1.04295
1.33333 62 1.04296
1.33333 64 1.04296
1.33333 66 1.04296
1.33333 68 1.04296
1.33333 70 1.04296
1.33333 72 1.04296
1.33333 74 1.04296
1.33333 76 1.04296
1.33333 78 1.04296
1.33333 80 1.04296
1.33333 82 1.04296
1.33333 84 1.04296
1.33333 86 1.04296
1.33333 88 1.04296
1.33333 90 1.04296
1.46667 0 1.03812
1.46667 2 1.03812
1.46667 4 1.03813
1.46667 6 1.03813
1.46667 8 1.03813
1.46667 10 1.03813
1.46667 12 1.03813
1.46667 14 1.03813
1.46667 16 1.03813
1.46667 18 1.03813
1.46667 20 1.03813
1.46667 22 1.03814
1.46667 24 1.03814
1.46667 26 1.03814
1.46667 28 1.03814
1.46667 30 1.03814
1.46667 32 1.03814
1.46667 34 1.03814
1.46667 36 1.03815
1.46667 38 1.03815
1.46667 40 1.03815
1.46667 42 1.03815
1.46667 44 1.03815
1.46667 46 1.03815
1.46667 48 1.03815
1.46667 50 1.03815
1.46667 52 1.03815
1.46667 54 1.03815
1.46667 56 1.03816
1.46667 58 1.03816
1.46667 60 1.03816
1.46667 62 1.03816
1.46667 64 1.03816
1.46667 66 1.03816
1.46667 68 1.03816
1.46667 70 1.03816
1.46667 72 1.03816
1.46667 74 1.03816
1.46667 76 1.03816
1.46667 78 1.03816
1.46667 80 1.03816
1.46667 82 1.03816
1.46667 84 1.03816
1.46667 86 1.03816
1.46667 88 1.03816
1.46667 90 1.03816
1.6 0 1.03317
1.6 2 1.03317
1.6 4 1.03317
1.6 6 1.03317
1.6 8 1.03317
1.6 10 1.03317
1.6 12 1.03317
1.6 14 1.03317
1.6 16 1.03317
1.6 18 1.03318
1.6 20 1.03318
1.6 22 1.03318
1.6 24 1.03318
1.6 26 1.03318
1.6 28 1.03318
1.6 30 1.03319
1.6 32 1.03319
1.6 34 1.03319
1.6 36 1.03319
1.6 38 1.03319
1.6 40 1.03319
1.6 42 1.03319
1.6 44 1.03319
1.6 46 1.0332
1.6 48 1.0332
1.6 50 1.0332
1.6 52 1.0332
1.6 54 1.0332
1.6 56 1.0332
1.6 58 1.0332
1.6 60 1.0332
1.6 62 1.0332
1.6 64 1.0332
1.6 66 1.0332
1.6 68 1.03321
1.6 70 1.03321
1.6 72 1.03321
1.6 74 1.03321
1.6 76 1.03321
1.6 78 1.03321
1.6 80 1.03321
1.6 82 1.03321
1.6 84 1.03321
1.6 86 1.03321
1.6 88 1.03321
1.6 90 1.03321
1.73333 0 1.02814
1.73333 2 1.02814
1.73333 4 1.02814
1.73333 6 1.02814
1.73333 8 1.02814
1.73333 10 1.02814
1.73333 12 1.02815
1.73333 14 1.02815
1.73333 16 1.02815
1.73333 18 1.02815
1.73333 20 1.02815
1.73333 22 1.02816
1.73333 24 1.02816
1.73333 26 1.02816
1.73333 28 1.02816
1.73333 30 1.02816
1.73333 32 1.02816
1.73333 34 1.02817
1.73333 36 1.02817
1.73333 38 1.02817
1.73333 40 1.02817
1.73333 42 1.02817
1.73333 44 1.02817
1.73333 46 1.02817
1.73333 48 1.02817
1.73333 50 1.02817
1.73333 52 1.02818
1.73333 54 1.02818
1.73333 56 1.02818
1.73333 58 1.02818
1.73333 60 1.02818
1.73333 62 1.02818
1.73333 64 1.02818
1.73333 66 1.02819
1.73333 68 1.02819
1.73333 70 1.02819
1.73333 72 1.02819
1.73333 74 1.02819
1.73333 76 1.02819
1.73333 78 1.0282
1.73333 80 1.0282
1.73333 82 1.0282
1.73333 84 1.0282
1.73333 86 1.0282
1.73333 88 1.0282
1.73333 90 1.0282
1.86667 0 1.02314
1.86667 2 1.02314
1.86667 4 1.02314
1.86667 6 1.02314
1.86667 8 1.02314
1.86667 10 1.02314
1.86667 12 1.02314
1.86667 14 1.02315
1.86667 16 1.02315
1.86667 18 1.02315
1.86667 20 1.02315
1.86667 22 1.02315
1.86667 24 1.02316
1.86667 26 1.02316
1.86667 28 1.02316
1.86667 30 1.02316
1.86667 32 1.02316
1.86667 34 1.02317
1.86667 36 1.02317
1.86667 38 1.02317
1.86667 40 1.02317
1.86667 42 1.02317
1.86667 44 1.02317
1.86667 46 1.02317
1.86667 48 1.02317
1.86667 50 1.02318
1.86667 52 1.02318
1.86667 54 1.02318
1.86667 56 1.02318
1.86667 58 1.02318
1.86667 60 1.02318
1.86667 62 1.02319
1.86667 64 1.02319
1.86667 66 1.02319
1.86667 68 1.02319
1.86667 70 1.0232
1.86667 72 1.0232
1.86667 74 1.0232
1.86667 76 1.02321
1.86667 78 1.02321
1.86667 80 1.02321
1.86667 82 1.02321
1.86667 84 1.02321
1.86667 86 1.02321
1.86667 88 1.02322
1.86667 90 1.02322
2 0 1.01825
2 2 1.01825
2 4 1.01825
2 6 1.01825
2 8 1.01825
2 10 1.01825
2 12 1.01825
2 14 1.01826
2 16 1.01826
2 18 1.01826
2 20 1.01826
2 22 1.01826
2 24 1.01827
2 26 1.01827
2 28 1.01827
2 30 1.01827
2 32 1.01827
2 34 1.01828
2 36 1.01828
2 38 1.01828
2 40 1.01828
2 42 1.01828
2 44 1.01828
2 46 1.01828
2 48 1.01829
2 50 1.01829
