0.222222 2
0 0 1.00464
0 2 1.00464
0 4 1.00464
0 6 1.00464
0 8 1.00464
0 10 1.00464
0 12 1.00464
0 14 1.00464
0 16 1.00464
0 18 1.00464
0 20 1.00464
0 22 1.00464
0 24 1.00464
0 26 1.00464
0 28 1.00464
0 30 1.00464
0 32 1.00464
0 34 1.00464
0 36 1.00464
0 38 1.00464
0 40 1.00464
0 42 1.00464
0 44 1.00464
0 46 1.00464
0 48 1.00464
0 50 1.00464
0 52 1.00464
0 54 1.00464
0 56 1.00464
0 58 1.00464
0 60 1.00464
0 62 1.00464
0 64 1.00464
0 66 1.00464
0 68 1.00464
0 70 1.00464
0 72 1.00464
0 74 1.00464
0 76 1.00464
0 78 1.00464
0 80 1.00464
0 82 1.00464
0 84 1.00464
0 86 1.00464
0 88 1.00464
0 90 1.00464
0.222222 0 1.00464
0.222222 2 1.00464
0.222222 4 1.00464
0.222222 6 1.00464
0.222222 8 1.00464
0.222222 10 1.00464
0.222222 12 1.00464
0.222222 14 1.00464
0.222222 16 1.00464
0.222222 18 1.00464
0.222222 20 1.00464
0.222222 22 1.00464
0.222222 24 1.00464
0.222222 26 1.00464
0.222222 28 1.00464
0.222222 30 1.00464
0.222222 32 1.00464
0.222222 34 1.00464
0.222222 36 1.00464
0.222222 38 1.00464
0.222222 40 1.00464
0.222222 42 1.00464
0.222222 44 1.00464
0.222222 46 1.00464
0.222222 48 1.00464
0.222222 50 1.00464
0.222222 52 1.00464
0.222222 54 1.00464
0.222222 56 1.00464
0.222222 58 1.00464
0.222222 60 1.00464
0.222222 62 1.00464
0.222222 64 1.00464
0.222222 66 1.00464
0.222222 68 1.00464
0.222222 70 1.00464
0.222222 72 1.00464
0.222222 74 1.00464
0.222222 76 1.00464
0.222222 78 1.00464
0.222222 80 1.00464
0.222222 82 1.00464
0.222222 84 1.00464
0.222222 86 1.00464
0.222222 88 1.00464
0.222222 90 1.00464
0.444444 0 1.00462
0.444444 2 1.00462
0.444444 4 1.00462
0.444444 6 1.00462
0.444444 8 1.00462
0.444444 10 1.00462
0.444444 12 1.00462
0.444444 14 1.00462
0.444444 16 1.00462
0.444444 18 1.00462
0.444444 20 1.00462
0.444444 22 1.00462
0.444444 24 1.00462
0.444444 26 1.00462
0.444444 28 1.00462
0.444444 30 1.00462
0.444444 32 1.00462
0.444444 34 1.00462
0.444444 36 1.00462
0.444444 38 1.00462
0.444444 40 1.00462
0.444444 42 1.00462
0.444444 44 1.00462
0.444444 46 1.00462
0.444444 48 1.00462
0.444444 50 1.00462
0.444444 52 1.00462
0.444444 54 1.00462
0.444444 56 1.00462
0.444444 58 1.00462
0.444444 60 1.00462
0.444444 62 1.00462
0.444444 64 1.00462
0.444444 66 1.00462
0.444444 68 1.00462
0.444444 70 1.00462
0.444444 72 1.00462
0.444444 74 1.00462
0.444444 76 1.00462
0.444444 78 1.00462
0.444444 80 1.00462
0.444444 82 1.00462
0.444444 84 1.00462
0.444444 86 1.00462
0.444444 88 1.00462
0.444444 90 1.00462
0.666667 0 1.00459
0.666667 2 1.00459
0.666667 4 1.00459
0.666667 6 1.00459
0.666667 8 1.00459
0.666667 10 1.00459
0.666667 12 1.00459
0.666667 14 1.00459
0.666667 16 1.00459
0.666667 18 1.00459
0.666667 20 1.00459
0.666667 22 1.00459
0.666667 24 1.00459
0.666667 26 1.00459
0.666667 28 1.00459
0.666667 30 1.00459
0.666667 32 1.00459
0.666667 34 1.0046
0.666667 36 1.00459
0.666667 38 1.00459
0.666667 40 1.00459
0.666667 42 1.00459
0.666667 44 1.00459
0.666667 46 1.00459
0.666667 48 1.0046
0.666667 50 1.0046
0.666667 52 1.0046
0.666667 54 1.0046
0.666667 56 1.0046
0.666667 58 1.0046
0.666667 60 1.0046
0.666667 62 1.0046
0.666667 64 1.0046
0.666667 66 1.0046
0.666667 68 1.0046
0.666667 70 1.0046
0.666667 72 1.00459
0.666667 74 1.00459
0.666667 76 1.00459
0.666667 78 1.00459
0.666667 80 1.00459
0.666667 82 1.00459
0.666667 84 1.00459
0.666667 86 1.00459
0.666667 88 1.00459
0.666667 90 1.00459
0.888889 0 1.00456
0.888889 2 1.00456
0.888889 4 1.00456
0.888889 6 1.00456
0.888889 8 1.00456
0.888889 10 1.00456
0.888889 12 1.00456
0.888889 14 1.00456
0.888889 16 1.00456
0.888889 18 1.00456
0.888889 20 1.00456
0.888889 22 1.00456
0.888889 24 1.00456
0.888889 26 1.00456
0.888889 28 1.00456
0.888889 30 1.00456
0.888889 32 1.00456
0.888889 34 1.00456
0.888889 36 1.00456
