0.222222 2
0 0 0.996549
0 2 0.996549
0 4 0.996549
0 6 0.996549
0 8 0.996549
0 10 0.996549
0 12 0.996549
0 14 0.996549
0 16 0.996549
0 18 0.996549
0 20 0.996549
0 22 0.996549
0 24 0.996549
0 26 0.996549
0 28 0.996549
0 30 0.996549
0 32 0.996549
0 34 0.996549
0 36 0.996549
0 38 0.996549
0 40 0.996549
0 42 0.996549
0 44 0.996549
0 46 0.996549
0 48 0.996549
0 50 0.996549
0 52 0.996549
0 54 0.996549
0 56 0.996549
0 58 0.996549
0 60 0.996549
0 62 0.996549
0 64 0.996549
0 66 0.996549
0 68 0.996549
0 70 0.996549
0 72 0.996549
0 74 0.996549
0 76 0.996549
0 78 0.996549
0 80 0.996549
0 82 0.996549
0 84 0.996549
0 86 0.996549
0 88 0.996549
0 90 0.996549
0.222222 0 0.996524
0.222222 2 0.996524
0.222222 4 0.996524
0.222222 6 0.996524
0.222222 8 0.996524
0.222222 10 0.996524
0.222222 12 0.996524
0.222222 14 0.996524
0.222222 16 0.996524
0.222222 18 0.996524
0.222222 20 0.996524
0.222222 22 0.996524
0.222222 24 0.996524
0.222222 26 0.996524
0.222222 28 0.996524
0.222222 30 0.996524
0.222222 32 0.996524
0.222222 34 0.996524
0.222222 36 0.996524
0.222222 38 0.996524
0.222222 40 0.996524
0.222222 42 0.996524
0.222222 44 0.996524
0.222222 46 0.996524
0.222222 48 0.996524
0.222222 50 0.996524
0.222222 52 0.996524
0.222222 54 0.996524
0.222222 56 0.996524
0.222222 58 0.996524
0.222222 60 0.996524
0.222222 62 0.996524
0.222222 64 0.996524
0.222222 66 0.996524
0.222222 68 0.996524
0.222222 70 0.996524
0.222222 72 0.996524
0.222222 74 0.996524
0.222222 76 0.996524
0.222222 78 0.996524
0.222222 80 0.996524
0.222222 82 0.996524
0.222222 84 0.996524
0.222222 86 0.996524
0.222222 88 0.996524
0.222222 90 0.996524
0.444444 0 0.996445
0.444444 2 0.996445
0.444444 4 0.996445
0.444444 6 0.996445
0.444444 8 0.996445
0.444444 10 0.996445
0.444444 12 0.996445
0.444444 14 0.996445
0.444444 16 0.996445
0.444444 18 0.996445
0.444444 20 0.996445
0.444444 22 0.996445
0.444444 24 0.996445
0.444444 26 0.996445
0.444444 28 0.996445
0.444444 30 0.996445
0.444444 32 0.996445
0.444444 34 0.996445
0.444444 36 0.996445
0.444444 38 0.996445
0.444444 40 0.996445
0.444444 42 0.996446
0.444444 44 0.996446
0.444444 46 0.996446
0.444444 48 0.996446
0.444444 50 0.996445
0.444444 52 0.996445
0.444444 54 0.996445
0.444444 56 0.996445
0.444444 58 0.996445
0.444444 60 0.996445
0.444444 62 0.996445
0.444444 64 0.996445
0.444444 66 0.996445
0.444444 68 0.996445
0.444444 70 0.996445
0.444444 72 0.996445
0.444444 74 0.996445
0.444444 76 0.996445
0.444444 78 0.996445
0.444444 80 0.996445
0.444444 82 0.996445
0.444444 84 0.996445
0.444444 86 0.996445
0.444444 88 0.996445
0.444444 90 0.996445
0.666667 0 0.99633
0.666667 2 0.99633
0.666667 4 0.99633
0.666667 6 0.99633
0.666667 8 0.99633
0.666667 10 0.99633
0.666667 12 0.99633
0.666667 14 0.99633
0.666667 16 0.99633
0.666667 18 0.99633
0.666667 20 0.99633
0.666667 22 0.99633
0.666667 24 0.99633
0.666667 26 0.99633
0.666667 28 0.99633
0.666667 30 0.99633
0.666667 32 0.99633
0.666667 34 0.99633
0.666667 36 0.99633
0.666667 38 0.99633
0.666667 40 0.99633
0.666667 42 0.99633
0.666667 44 0.99633
0.666667 46 0.99633
0.666667 48 0.99633
0.666667 50 0.99633
0.666667 52 0.99633
0.666667 54 0.99633
0.666667 56 0.99633
0.666667 58 0.99633
0.666667 60 0.99633
0.666667 62 0.996331
0.666667 64 0.996331
0.666667 66 0.99633
0.666667 68 0.99633
0.666667 70 0.99633
0.666667 72 0.99633
0.666667 74 0.99633
0.666667 76 0.99633
0.666667 78 0.99633
0.666667 80 0.99633
0.666667 82 0.99633
0.666667 84 0.99633
0.666667 86 0.99633
0.666667 88 0.99633
0.666667 90 0.99633
0.888889 0 0.996198
0.888889 2 0.996198
0.888889 4 0.996198
0.888889 6 0.996198
0.888889 8 0.996198
0.888889 10 0.996198
0.888889 12 0.996198
0.888889 14 0.996198
0.888889 16 0.996198
0.888889 18 0.996198
0.888889 20 0.996198
0.888889 22 0.996199
0.888889 24 0.996199
0.888889 26 0.996199
0.888889 28 0.996199
0.888889 30 0.996199
0.888889 32 0.996199
0.888889 34 0.996199
0.888889 36 0.996199
0.888889 38 0.996199
0.888889 40 0.996199
0.888889 42 0.996199
0.888889 44 0.996199
0.888889 46 0.996199
0.888889 48 0.996199
0.888889 50 0.996199
0.888889 52 0.996198
0.888889 54 0.996198
0.888889 56 0.996197
0.888889 58 0.996197
0.888889 60 0.996196
0.888889 62 0.996196
0.888889 64 0.996195
0.888889 66 0.996195
0.888889 68 0.996194
0.888889 70 0.996193
0.888889 72 0.996193
0.888889 74 0.996192
0.888889 76 0.996192
0.888889 78 0.996191
0.888889 80 0.996191
0.888889 82 0.99619
0.888889 84 0.99619
0.888889 86 0.99619
0.888889 88 0.99619
0.888889 90 0.99619
1.11111 0 0.996076
1.11111 2 0.996076
1.11111 4 0.996076
1.11111 6 0.996076
1.11111 8 0.996076
1.11111 10 0.996076
1.11111 12 0.996076
1.11111 14 0.996076
1.11111 16 0.996076
1.11111 18 0.996076
1.11111 20 0.996076
1.11111 22 0.996076
1.11111 24 0.996077
1.11111 26 0.996077
1.11111 28 0.996077
1.11111 30 0.996077
1.11111 32 0.996077
1.11111 34 0.996077
1.11111 36 0.996076
1.11111 38 0.996076
1.11111 40 0.996076
1.11111 42 0.996075
1.11111 44 0.996074
1.11111 46 0.996073
1.11111 48 0.996072
1.11111 50 0.996071
1.11111 52 0.99607
1.11111 54 0.996068
1.11111 56 0.996066
1.11111 58 0.996064
1.11111 60 0.996063
1.11111 62 0.996061
1.11111 64 0.99606
1.11111 66 0.996058
1.11111 68 0.996056
1.11111 70 0.996055
1.11111 72 0.996054
1.11111 74 0.996052
1.11111 76 0.996051
1.11111 78 0.996051
1.11111 80 0.99605
1.11111 82 0.996049
1.11111 84 0.996049
1.11111 86 0.996049
1.11111 88 0.996049
1.11111 90 0.996048
1.33333 0 0.995987
1.33333 2 0.995987
1.33333 4 0.995987
1.33333 6 0.995988
1.33333 8 0.995988
1.33333 10 0.995988
1.33333 12 0.995988
1.33333 14 0.995988
1.33333 16 0.995988
1.33333 18 0.995989
1.33333 20 0.995989
1.33333 22 0.995989
1.33333 24 0.995989
1.33333 26 0.995989
