0.133333 2
0 0 1.00161
0 2 1.00161
0 4 1.00161
0 6 1.00161
0 8 1.00161
0 10 1.00161
0 12 1.00161
0 14 1.00161
0 16 1.00161
0 18 1.00161
0 20 1.00161
0 22 1.00161
0 24 1.00161
0 26 1.00161
0 28 1.00161
0 30 1.00161
0 32 1.00161
0 34 1.00161
0 36 1.00161
0 38 1.00161
0 40 1.00161
0 42 1.00161
0 44 1.00161
0 46 1.00161
0 48 1.00161
0 50 1.00161
0 52 1.00161
0 54 1.00161
0 56 1.00161
0 58 1.00161
0 60 1.00161
0 62 1.00161
0 64 1.00161
0 66 1.00161
0 68 1.00161
0 70 1.00161
0 72 1.00161
0 74 1.00161
0 76 1.00161
0 78 1.00161
0 80 1.00161
0 82 1.00161
0 84 1.00161
0 86 1.00161
0 88 1.00161
0 90 1.00161
0.133333 0 1.00144
0.133333 2 1.00144
0.133333 4 1.00144
0.133333 6 1.00144
0.133333 8 1.00144
0.133333 10 1.00144
0.133333 12 1.00144
0.133333 14 1.00144
0.133333 16 1.00144
0.133333 18 1.00144
0.133333 20 1.00144
0.133333 22 1.00144
0.133333 24 1.00144
0.133333 26 1.00144
0.133333 28 1.00144
0.133333 30 1.00144
0.133333 32 1.00144
0.133333 34 1.00144
0.133333 36 1.00144
0.133333 38 1.00144
0.133333 40 1.00144
0.133333 42 1.00144
0.133333 44 1.00144
0.133333 46 1.00144
0.133333 48 1.00144
0.133333 50 1.00144
0.133333 52 1.00144
0.133333 54 1.00144
0.133333 56 1.00144
0.133333 58 1.00144
0.133333 60 1.00144
0.133333 62 1.00144
0.133333 64 1.00144
0.133333 66 1.00144
0.133333 68 1.00144
0.133333 70 1.00144
0.133333 72 1.00144
0.133333 74 1.00144
0.133333 76 1.00144
0.133333 78 1.00144
0.133333 80 1.00144
0.133333 82 1.00144
0.133333 84 1.00144
0.133333 86 1.00144
0.133333 88 1.00144
0.133333 90 1.00144
0.266667 0 1.00088
0.266667 2 1.00088
0.266667 4 1.00088
0.266667 6 1.00088
0.266667 8 1.00088
0.266667 10 1.00088
0.266667 12 1.00088
0.266667 14 1.00088
0.266667 16 1.00088
0.266667 18 1.00088
0.266667 20 1.00088
0.266667 22 1.00088
0.266667 24 1.00088
0.266667 26 1.00088
0.266667 28 1.00088
0.266667 30 1.00088
0.266667 32 1.00088
0.266667 34 1.00088
0.266667 36 1.00088
0.266667 38 1.00088
0.266667 40 1.00088
0.266667 42 1.00088
0.266667 44 1.00088
0.266667 46 1.00088
0.266667 48 1.00088
0.266667 50 1.00088
0.266667 52 1.00088
0.266667 54 1.00088
0.266667 56 1.00088
0.266667 58 1.00088
0.266667 60 1.00088
0.266667 62 1.00088
0.266667 64 1.00088
0.266667 66 1.00088
0.266667 68 1.00088
0.266667 70 1.00088
0.266667 72 1.00088
0.266667 74 1.00088
0.266667 76 1.00088
0.266667 78 1.00088
0.266667 80 1.00088
0.266667 82 1.00088
0.266667 84 1.00088
0.266667 86 1.00088
0.266667 88 1.00088
0.266667 90 1.00088
0.4 0 0.999969
0.4 2 0.999969
0.4 4 0.999969
0.4 6 0.999969
0.4 8 0.999969
0.4 10 0.999969
0.4 12 0.999969
0.4 14 0.999969
0.4 16 0.999969
0.4 18 0.99997
0.4 20 0.99997
0.4 22 0.99997
0.4 24 0.99997
0.4 26 0.99997
0.4 28 0.99997
0.4 30 0.99997
0.4 32 0.999971
0.4 34 0.999971
0.4 36 0.999971
0.4 38 0.999971
0.4 40 0.999972
0.4 42 0.999972
0.4 44 0.999972
0.4 46 0.999973
0.4 48 0.999973
0.4 50 0.999973
0.4 52 0.999974
0.4 54 0.999974
0.4 56 0.999975
0.4 58 0.999975
0.4 60 0.999975
0.4 62 0.999975
0.4 64 0.999974
0.4 66 0.999973
0.4 68 0.999973
0.4 70 0.999972
0.4 72 0.999971
0.4 74 0.999971
0.4 76 0.999971
0.4 78 0.999971
0.4 80 0.999972
0.4 82 0.999973
0.4 84 0.999974
0.4 86 0.999975
0.4 88 0.999975
0.4 90 0.999974
0.533333 0 0.998761
0.533333 2 0.998761
0.533333 4 0.998761
0.533333 6 0.998761
0.533333 8 0.998761
0.533333 10 0.998761
0.533333 12 0.998761
0.533333 14 0.998761
0.533333 16 0.998762
0.533333 18 0.998762
0.533333 20 0.998762
0.533333 22 0.998762
0.533333 24 0.998763
0.533333 26 0.998763
0.533333 28 0.998763
0.533333 30 0.998764
0.533333 32 0.998764
0.533333 34 0.998765
0.533333 36 0.998765
0.533333 38 0.998766
0.533333 40 0.998766
0.533333 42 0.998766
0.533333 44 0.998767
0.533333 46 0.998768
0.533333 48 0.998768
0.533333 50 0.998768
0.533333 52 0.998768
0.533333 54 0.998768
0.533333 56 0.998767
0.533333 58 0.998767
0.533333 60 0.998767
0.533333 62 0.998768
0.533333 64 0.998768
0.533333 66 0.998769
0.533333 68 0.998769
0.533333 70 0.99877
0.533333 72 0.998769
0.533333 74 0.998769
0.533333 76 0.998769
0.533333 78 0.99877
0.533333 80 0.99877
0.533333 82 0.998769
0.533333 84 0.998768
0.533333 86 0.998766
0.533333 88 0.998766
0.533333 90 0.998765
0.666667 0 0.997323
0.666667 2 0.997323
0.666667 4 0.997323
0.666667 6 0.997323
0.666667 8 0.997323
0.666667 10 0.997323
0.666667 12 0.997324
0.666667 14 0.997324
0.666667 16 0.997324
0.666667 18 0.997325
0.666667 20 0.997325
0.666667 22 0.997326
0.666667 24 0.997326
0.666667 26 0.997327
0.666667 28 0.997328
0.666667 30 0.997328
0.666667 32 0.997329
0.666667 34 0.99733
0.666667 36 0.99733
0.666667 38 0.997331
0.666667 40 0.997332
0.666667 42 0.997332
0.666667 44 0.997332
0.666667 46 0.997333
0.666667 48 0.997333
0.666667 50 0.997333
0.666667 52 0.997334
0.666667 54 0.997334
0.666667 56 0.997334
0.666667 58 0.997334
0.666667 60 0.997333
0.666667 62 0.997332
0.666667 64 0.997331
0.666667 66 0.997331
0.666667 68 0.997331
0.666667 70 0.997331
0.666667 72 0.997331
0.666667 74 0.997331
0.666667 76 0.997331
0.666667 78 0.99733
0.666667 80 0.997328
0.666667 82 0.997328
0.666667 84 0.997328
0.666667 86 0.997329
0.666667 88 0.99733
0.666667 90 0.99733
0.8 0 0.995743
0.8 2 0.995743
0.8 4 0.995743
0.8 6 0.995743
0.8 8 0.995744
0.8 10 0.995744
0.8 12 0.995744
0.8 14 0.995745
0.8 16 0.995745
0.8 18 0.995746
0.8 20 0.995747
0.8 22 0.995748
0.8 24 0.995749
0.8 26 0.99575
0.8 28 0.995751
0.8 30 0.995751
0.8 32 0.995753
0.8 34 0.995754
0.8 36 0.995754
0.8 38 0.995755
0.8 40 0.995755
0.8 42 0.995756
0.8 44 0.995756
0.8 46 0.995756
0.8 48 0.995756
0.8 50 0.995755
0.8 52 0.995754
0.8 54 0.995752
0.8 56 0.995751
0.8 58 0.995749
0.8 60 0.995747
0.8 62 0.995744
