0.4 10
0 0 1
0 10 1
0 20 1
0 30 1
0 40 1
0 50 1
0 60 1
0 70 1
0 80 1
0 90 1
0.4 0 1
0.4 10 1
0.4 20 1
0.4 30 1
0.4 40 1
0.4 50 1
0.4 60 1
0.4 70 1
0.4 80 1
0.4 90 1
0.8 0 1
0.8 10 1
0.8 20 1
0.8 30 1
0.8 40 1
0.8 50 1
0.8 60 1
0.8 70 1
0.8 80 1
0.8 90 1
1.2 0 1
1.2 10 1
1.2 20 1
1.2 30 1
1.2 40 1
1.2 50 1
1.2 60 1
1.2 70 1
1.2 80 1
1.2 90 1
1.6 0 1
1.6 10 1
1.6 20 1
1.6 30 1
1.6 40 1
1.6 50 1
1.6 60 1
1.6 70 1
1.6 80 1
1.6 90 1
2 0 1
2 10 1
2 20 1
2 30 1
2 40 1
2 50 1
2 60 1
2 70 1
2 80 1
2 90 1
2.4 0 1
2.4 10 1
2.4 20 1
2.4 30 1
2.4 40 1
2.4 50 1
2.4 60 1
2.4 70 1
2.4 80 1
2.4 90 1
2.8 0 1
2.8 10 1
2.8 20 1
2.8 30 1
2.8 40 1
2.8 50 1
2.8 60 1
2.8 70 1
2.8 80 1
2.8 90 1
3.2 0 1
3.2 10 1
3.2 20 1
3.2 30 1
3.2 40 1
3.2 50 1
3.2 60 1
3.2 70 1
3.2 80 1
3.2 90 1
3.6 0 1
3.6 10 1
3.6 20 1
3.6 30 1
3.6 40 1
3.6 50 1
3.6 60 1
3.6 70 1
3.6 80 1
3.6 90 1
4 0 1
4 10 1
4 20 1
4 30 1
4 40 1
4 50 1
4 60 1
4 70 1
4 80 1
4 90 1
4.4 0 1
4.4 10 1
4.4 20 1
4.4 30 1
4.4 40 1
4.4 50 1
4.4 60 1
4.4 70 1
4.4 80 1
4.4 90 1
4.8 0 1
4.8 10 1
4.8 20 1
4.8 30 1
4.8 40 1
4.8 50 1
4.8 60 1
4.8 70 1
4.8 80 1
4.8 90 1
5.2 0 1
5.2 10 1
5.2 20 1
5.2 30 1
5.2 40 1
5.2 50 1
5.2 60 1
5.2 70 1
5.2 80 1
5.2 90 1
5.6 0 1
5.6 10 1
5.6 20 1
5.6 30 1
5.6 40 1
5.6 50 1
5.6 60 1
5.6 70 1
5.6 80 1
5.6 90 1
6 0 1
6 10 1
6 20 1
6 30 1
6 40 1
6 50 1
6 60 1
6 70 1
6 80 1
6 90 1
6.4 0 1
6.4 10 1
6.4 20 1
6.4 30 1
6.4 40 1
6.4 50 1
6.4 60 1
6.4 70 1
6.4 80 1
6.4 90 1
6.8 0 1
6.8 10 1
6.8 20 1
6.8 30 1
6.8 40 1
6.8 50 1
6.8 60 1
6.8 70 1
6.8 80 1
6.8 90 1
7.2 0 1
7.2 10 1
7.2 20 1
7.2 30 1
7.2 40 1
7.2 50 1
7.2 60 1
7.2 70 1
7.2 80 1
7.2 90 1
7.6 0 1
7.6 10 1
7.6 20 1
7.6 30 1
7.6 40 1
7.6 50 1
7.6 60 1
7.6 70 1
7.6 80 1
7.6 90 1
8 0 1
8 10 1
8 20 1
8 30 1
8 40 1
8 50 1
8 60 1
8 70 1
8 80 1
8 90 1
8.4 0 1
8.4 10 1
8.4 20 1
8.4 30 1
8.4 40 1
8.4 50 1
8.4 60 1
8.4 70 1
8.4 80 1
8.4 90 1
8.8 0 1
8.8 10 1
8.8 20 1
8.8 30 1
8.8 40 1
8.8 50 1
8.8 60 1
8.8 70 1
8.8 80 1
8.8 90 1
9.2 0 1
9.2 10 1
9.2 20 1
9.2 30 1
9.2 40 1
9.2 50 1
9.2 60 1
9.2 70 1
9.2 80 1
9.2 90 1
9.6 0 1
9.6 10 1
9.6 20 1
9.6 30 1
9.6 40 1
9.6 50 1
9.6 60 1
9.6 70 1
9.6 80 1
9.6 90 1
10 0 1
10 10 1
10 20 1
10 30 1
10 40 1
10 50 1
10 60 1
10 70 1
10 80 1
10 90 1
10.4 0 1
10.4 10 1
10.4 20 1
10.4 30 1
10.4 40 1
10.4 50 1
10.4 60 1
10.4 70 1
10.4 80 1
10.4 90 1
10.8 0 1
10.8 10 1
10.8 20 1
10.8 30 1
10.8 40 1
10.8 50 1
10.8 60 1
10.8 70 1
10.8 80 1
10.8 90 1
11.2 0 1
11.2 10 1
11.2 20 1
11.2 30 1
11.2 40 1
11.2 50 1
11.2 60 1
11.2 70 1
11.2 80 1
11.2 90 1
11.6 0 1
11.6 10 1
11.6 20 1
11.6 30 1
11.6 40 1
11.6 50 1
11.6 60 1
11.6 70 1
11.6 80 1
11.6 90 1
12 0 1
12 10 1
12 20 1
12 30 1
12 40 1
12 50 1
12 60 1
12 70 1
12 80 1
12 90 1
