Fit FA02

   PI+P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
    1.00 -0.9078E-01  0.5810E-03  0.0000E+00  0.0000E+00
    6.00 -0.8119E-01  0.2383E-02  0.0000E+00  0.0000E+00
   11.00 -0.5987E-01  0.4183E-02  0.0000E+00  0.0000E+00
   16.00 -0.3606E-01  0.6459E-02  0.0000E+00  0.0000E+00
   21.00 -0.1048E-01  0.9423E-02  0.0000E+00  0.0000E+00
   26.00  0.1673E-01  0.1325E-01  0.0000E+00  0.0000E+00
   31.00  0.4554E-01  0.1814E-01  0.0000E+00  0.0000E+00
   36.00  0.7601E-01  0.2427E-01  0.0000E+00  0.0000E+00
   41.00  0.1082E+00  0.3186E-01  0.0000E+00  0.0000E+00
   46.00  0.1421E+00  0.4118E-01  0.0000E+00  0.0000E+00
   51.00  0.1778E+00  0.5250E-01  0.0000E+00  0.0000E+00
   56.00  0.2154E+00  0.6616E-01  0.0000E+00  0.0000E+00
   61.00  0.2548E+00  0.8253E-01  0.0000E+00  0.0000E+00
   66.00  0.2963E+00  0.1021E+00  0.0000E+00  0.0000E+00
   71.00  0.3394E+00  0.1253E+00  0.0000E+00  0.0000E+00
   76.00  0.3841E+00  0.1526E+00  0.0000E+00  0.0000E+00
   81.00  0.4301E+00  0.1847E+00  0.0000E+00  0.0000E+00
   86.00  0.4772E+00  0.2223E+00  0.0000E+00  0.0000E+00
   91.00  0.5247E+00  0.2660E+00  0.0000E+00  0.0000E+00
   96.00  0.5724E+00  0.3168E+00  0.0000E+00  0.0000E+00
  101.00  0.6193E+00  0.3755E+00  0.0000E+00  0.0000E+00
  106.00  0.6643E+00  0.4429E+00  0.0000E+00  0.0000E+00
  111.00  0.7057E+00  0.5195E+00  0.0000E+00  0.0000E+00
  116.00  0.7417E+00  0.6055E+00  0.0000E+00  0.0000E+00
  121.00  0.7704E+00  0.7017E+00  0.0000E+00  0.0000E+00
  126.00  0.7892E+00  0.8077E+00  0.0000E+00  0.0000E+00
  131.00  0.7953E+00  0.9225E+00  0.0000E+00  0.0000E+00
  136.00  0.7858E+00  0.1044E+01  0.0000E+00  0.0000E+00
  141.00  0.7583E+00  0.1169E+01  0.0000E+00  0.0000E+00
  146.00  0.7111E+00  0.1294E+01  0.0000E+00  0.0000E+00
  151.00  0.6433E+00  0.1415E+01  0.0000E+00  0.0000E+00
  156.00  0.5556E+00  0.1526E+01  0.0000E+00  0.0000E+00
  161.00  0.4499E+00  0.1624E+01  0.0000E+00  0.0000E+00
  166.00  0.3294E+00  0.1705E+01  0.0000E+00  0.0000E+00
  171.00  0.1993E+00  0.1764E+01  0.0000E+00  0.0000E+00
  176.00  0.6464E-01  0.1801E+01  0.0000E+00  0.0000E+00
  181.00 -0.6958E-01  0.1817E+01  0.0000E+00  0.0000E+00
  186.00 -0.1992E+00  0.1813E+01  0.0000E+00  0.0000E+00
  191.00 -0.3213E+00  0.1793E+01  0.0000E+00  0.0000E+00
  196.00 -0.4328E+00  0.1758E+01  0.0000E+00  0.0000E+00
  201.00 -0.5325E+00  0.1712E+01  0.0000E+00  0.0000E+00
  206.00 -0.6200E+00  0.1659E+01  0.0000E+00  0.0000E+00
  211.00 -0.6956E+00  0.1601E+01  0.0000E+00  0.0000E+00
  216.00 -0.7600E+00  0.1539E+01  0.0000E+00  0.0000E+00
  221.00 -0.8141E+00  0.1477E+01  0.0000E+00  0.0000E+00
  226.00 -0.8590E+00  0.1415E+01  0.0000E+00  0.0000E+00
  231.00 -0.8957E+00  0.1354E+01  0.0000E+00  0.0000E+00
  236.00 -0.9253E+00  0.1295E+01  0.0000E+00  0.0000E+00
  241.00 -0.9488E+00  0.1238E+01  0.0000E+00  0.0000E+00
  246.00 -0.9670E+00  0.1184E+01  0.0000E+00  0.0000E+00
  251.00 -0.9808E+00  0.1133E+01  0.0000E+00  0.0000E+00
  256.00 -0.9908E+00  0.1084E+01  0.0000E+00  0.0000E+00
  261.00 -0.9976E+00  0.1038E+01  0.0000E+00  0.0000E+00
  266.00 -0.1002E+01  0.9947E+00  0.0000E+00  0.0000E+00
  271.00 -0.1003E+01  0.9540E+00  0.0000E+00  0.0000E+00
  276.00 -0.1003E+01  0.9157E+00  0.0000E+00  0.0000E+00
  281.00 -0.1002E+01  0.8797E+00  0.0000E+00  0.0000E+00
  286.00 -0.9986E+00  0.8459E+00  0.0000E+00  0.0000E+00
  291.00 -0.9945E+00  0.8142E+00  0.0000E+00  0.0000E+00
  296.00 -0.9894E+00  0.7844E+00  0.0000E+00  0.0000E+00
  301.00 -0.9836E+00  0.7563E+00  0.0000E+00  0.0000E+00
  306.00 -0.9771E+00  0.7298E+00  0.0000E+00  0.0000E+00
  311.00 -0.9701E+00  0.7048E+00  0.0000E+00  0.0000E+00
  316.00 -0.9626E+00  0.6813E+00  0.0000E+00  0.0000E+00
  321.00 -0.9548E+00  0.6591E+00  0.0000E+00  0.0000E+00
  326.00 -0.9466E+00  0.6381E+00  0.0000E+00  0.0000E+00
  331.00 -0.9382E+00  0.6183E+00  0.0000E+00  0.0000E+00
  336.00 -0.9296E+00  0.5995E+00  0.0000E+00  0.0000E+00
  341.00 -0.9209E+00  0.5818E+00  0.0000E+00  0.0000E+00
  346.00 -0.9120E+00  0.5650E+00  0.0000E+00  0.0000E+00
  351.00 -0.9031E+00  0.5491E+00  0.0000E+00  0.0000E+00
  356.00 -0.8940E+00  0.5340E+00  0.0000E+00  0.0000E+00
  361.00 -0.8849E+00  0.5196E+00  0.0000E+00  0.0000E+00
  366.00 -0.8758E+00  0.5060E+00  0.0000E+00  0.0000E+00
  371.00 -0.8666E+00  0.4930E+00  0.0000E+00  0.0000E+00
  376.00 -0.8574E+00  0.4807E+00  0.0000E+00  0.0000E+00
  381.00 -0.8482E+00  0.4689E+00  0.0000E+00  0.0000E+00
  386.00 -0.8389E+00  0.4577E+00  0.0000E+00  0.0000E+00
  391.00 -0.8297E+00  0.4470E+00  0.0000E+00  0.0000E+00
  396.00 -0.8205E+00  0.4368E+00  0.0000E+00  0.0000E+00

   PI+P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
  400.00 -0.8131E+00  0.4290E+00  0.0000E+00  0.0000E+00
  420.00 -0.7762E+00  0.3940E+00  0.0000E+00  0.0000E+00
  440.00 -0.7395E+00  0.3650E+00  0.0000E+00  0.0000E+00
  460.00 -0.7028E+00  0.3411E+00  0.0000E+00  0.0000E+00
  480.00 -0.6660E+00  0.3216E+00  0.0000E+00  0.0000E+00
  500.00 -0.6293E+00  0.3062E+00  0.0000E+00  0.0000E+00
  520.00 -0.5926E+00  0.2944E+00  0.0000E+00  0.0000E+00
  540.00 -0.5559E+00  0.2860E+00  0.0000E+00  0.0000E+00
  560.00 -0.5193E+00  0.2808E+00  0.0000E+00  0.0000E+00
  580.00 -0.4826E+00  0.2784E+00  0.0000E+00  0.0000E+00
  600.00 -0.4458E+00  0.2788E+00  0.0000E+00  0.0000E+00
  620.00 -0.4085E+00  0.2822E+00  0.0000E+00  0.0000E+00
  640.00 -0.3704E+00  0.2890E+00  0.0000E+00  0.0000E+00
  660.00 -0.3315E+00  0.3000E+00  0.0000E+00  0.0000E+00
  680.00 -0.2922E+00  0.3167E+00  0.0000E+00  0.0000E+00
  700.00 -0.2545E+00  0.3406E+00  0.0000E+00  0.0000E+00
  720.00 -0.2218E+00  0.3721E+00  0.0000E+00  0.0000E+00
  740.00 -0.1980E+00  0.4085E+00  0.0000E+00  0.0000E+00
  760.00 -0.1845E+00  0.4449E+00  0.0000E+00  0.0000E+00
  780.00 -0.1789E+00  0.4768E+00  0.0000E+00  0.0000E+00
  800.00 -0.1774E+00  0.5021E+00  0.0000E+00  0.0000E+00
  820.00 -0.1765E+00  0.5214E+00  0.0000E+00  0.0000E+00
  840.00 -0.1738E+00  0.5362E+00  0.0000E+00  0.0000E+00
  860.00 -0.1685E+00  0.5483E+00  0.0000E+00  0.0000E+00
  880.00 -0.1603E+00  0.5591E+00  0.0000E+00  0.0000E+00
  900.00 -0.1492E+00  0.5699E+00  0.0000E+00  0.0000E+00
  920.00 -0.1355E+00  0.5817E+00  0.0000E+00  0.0000E+00
  940.00 -0.1196E+00  0.5953E+00  0.0000E+00  0.0000E+00
  960.00 -0.1022E+00  0.6112E+00  0.0000E+00  0.0000E+00
  980.00 -0.8366E-01  0.6299E+00  0.0000E+00  0.0000E+00
 1000.00 -0.6454E-01  0.6491E+00  0.0000E+00  0.0000E+00
 1020.00 -0.4589E-01  0.6746E+00  0.0000E+00  0.0000E+00
 1040.00 -0.2824E-01  0.7037E+00  0.0000E+00  0.0000E+00
 1060.00 -0.1240E-01  0.7366E+00  0.0000E+00  0.0000E+00
 1080.00  0.7607E-03  0.7732E+00  0.0000E+00  0.0000E+00
 1100.00  0.1033E-01  0.8131E+00  0.0000E+00  0.0000E+00
 1120.00  0.1536E-01  0.8559E+00  0.0000E+00  0.0000E+00
 1140.00  0.1493E-01  0.9007E+00  0.0000E+00  0.0000E+00
 1160.00  0.8269E-02  0.9466E+00  0.0000E+00  0.0000E+00
 1180.00 -0.5180E-02  0.9921E+00  0.0000E+00  0.0000E+00
